 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
NMTX 2018,"New Mexico Texas Philosophical Society, 2018",https://easychair.org/cfp/NMTX-2018,"Houston, TX, United States","Feb 11, 2018","Apr 06, 2018",[],Philosophy and Psychology
ICFMS 2018,International Conference Forensic Medicine And Science 2018,https://easychair.org/cfp/ICFMS2018,"Shah Alam, Malaysia",,"May 08, 2018","['forensic pathology', 'forensic anthropology', 'forensic entomology', 'forensic odontolgy']",Philosophy and Psychology
IACAP 2018,The 2018 Meeting of the International Association for Computing and Philosophy,https://easychair.org/cfp/IACAP-2018,"Warsaw, Poland","Feb 15, 2018","Jun 21, 2018",[],Philosophy and Psychology
ISUS 2018 Summer School,"Summer School of the 15th Conference of the International Society for Utilitarian Studies, Karlsruhe Institute of Technology (KIT), July 24-26, 2018",https://easychair.org/cfp/ISUS-2018-SummerSchool,"Karlsruhe, Germany",,,"['summer school', 'utilitarianism', 'consequentialism', 'international society for utilitarian studies']",Philosophy and Psychology
CMP2018,Computational Modeling in Philosophy,https://easychair.org/cfp/CMP2018,"Munich, Germany","Apr 01, 2018","Jun 22, 2018",[],Philosophy and Psychology
interpretationvalues2,The Interpretation of Values,https://easychair.org/cfp/interpretationvalues2,"Iasi, Romania","Apr 17, 2018",,['cultural heritage'],Philosophy and Psychology
AIC2018,6th International Workshop on Artificial Intelligence and Cognition,https://easychair.org/cfp/AIC2018,"Palermo, Italy","Apr 06, 2018","Jul 02, 2018","['artificial intelligence', 'cognitive systems', 'robotics', 'knowledge representation']",Philosophy and Psychology
ESLP 2018,Embodied and Situated Language Processing,https://easychair.org/cfp/eslp2018,"Lancaster, UK","Apr 16, 2018","Aug 10, 2018","['embodiment', 'language', 'cognition', 'reproducibility']",Philosophy and Psychology
VSAC 2018,Visual Science of Art Conference 2018,https://easychair.org/cfp/VSAC2018,"Trieste, Italy","Mar 31, 2018","Aug 24, 2018","['visual perception', 'visual art and visual science', 'visual aesthetics', 'experimental aesthetics']",Philosophy and Psychology
FEW 2018,Formal Epistemology Workshop 2018,https://easychair.org/cfp/FEW2018,"Toronto, Canada","Feb 12, 2018","Jun 12, 2018",[],Philosophy and Psychology
9 SLMFCE,"IX Conference of the Spanish Society for Logic, Methodology and Philosophy of Science",https://easychair.org/cfp/9slmfce,"Madrid, Spain",,"Nov 13, 2018","['logic', 'philosophy of science']",Philosophy and Psychology
3BelGradConf,Third Belgrade Graduate in Analytic Philosophy,https://easychair.org/cfp/3BelGradConf,"Belgrade, Serbia","Jan 21, 2018","May 04, 2018","['philosophy of science', 'epistemology', 'ethics', 'metaphysics']",Philosophy and Psychology
MBR18_SPAIN,"Model-Based Reasoning in Science and Technology: Inferential Models for Logic, Language, Cognition and Computation. 20 Anniversary",https://easychair.org/cfp/MBR18_SPAIN,"Sevilla, Spain","Apr 10, 2018","Oct 24, 2018","['models for logic', 'models for language', 'models for computation', 'models for cognition']",Philosophy and Psychology
ISPP1,1st International Symposium on Positive Psychology,https://easychair.org/cfp/ISPP-1,"Jeddah, Saudi Arabia","Feb 25, 2018","Mar 29, 2018","['positive psychology', 'islamic psychology']",Philosophy and Psychology
SINe_2018,"Neuroethics: Re-Mapping the Field Meetings on Neuroscience and Society, X Edition. 10th edition of the International Scientific Conference on Neuroethics and 5th Conference of the Italian Society for Neuroethics (SINe)",https://easychair.org/cfp/SINe_2018,"Milan, Italy","Feb 01, 2018","May 16, 2018",[],Philosophy and Psychology
L18,Logica 2018,https://easychair.org/cfp/Logica2018,"Hejnice, Czech Republic",,"Jun 19, 2018",[],Philosophy and Psychology
GAP.10,10th International Congress of the German Society for Analytic Philosophy (GAP),https://easychair.org/cfp/GAP10,"Köln, Germany","Jan 31, 2018","Sep 17, 2018","['plurality', 'analytic philosophy', 'history of philosophy', 'philosophy in the analytic tradition']",Philosophy and Psychology
SEmotion 2018,Third International Workshop on Emotion Awareness in Software Engineering,https://easychair.org/cfp/SEmotion2018,"Gothenburg, Sweden","Feb 05, 2018","Jun 02, 2018","['software engineering', 'sentiment', 'emotion awareness']",Philosophy and Psychology
P2018,PRESENCE 2018: Challenges,https://easychair.org/cfp/P2018,"Prague, Czech Republic","Feb 20, 2018","May 21, 2018","['presence', 'computer mediated communication', 'media and communication', 'interactive media']",Philosophy and Psychology
SPP 2018,Society for Philosophy and Psychology 2018,https://easychair.org/cfp/SPP2018,"Ann Arbor, MI, United States","Feb 09, 2018","Jul 11, 2018",[],Philosophy and Psychology
IACS3 – 2018,Third Conference of the International Association for Cognitive Semiotics,https://easychair.org/cfp/IACS2018,"Toronto, Canada",,"Jul 13, 2018",[],Philosophy and Psychology
FEMMSS 7,"FEMMSS 7 Navigating Habitats: Feminist Explorations of Disabilities, Climates, Ecosystems and Technologies",https://easychair.org/cfp/femmss7,"Corvallis, OR, United States","Feb 26, 2018","Aug 01, 2018","['disability and feminism', 'feminist epistemology', 'feminist science studies', 'ecosystems technology feminism']",Philosophy and Psychology
Trends2018,Trends in Logic XVIII,https://easychair.org/cfp/Trends2018,"Milan, Italy",,"Sep 24, 2018","['modal logic', 'epistemic logic', 'deontic logic', 'hyperintensional semantics']",Philosophy and Psychology
DG-neuro-ICT1,Data Governance in International Neuro-ICT Collaborations,https://easychair.org/cfp/DG_neuro_ICT1,"Oxford, UK","Jan 31, 2018","Mar 20, 2018","['data governance', 'neuroscience', 'ict', 'responsible research and innovation']",Philosophy and Psychology
SoNG 17/18,Southern Normativity Group meeting 2017/18,https://easychair.org/cfp/SoNG-1718,"Reading, UK","Jan 31, 2018","Mar 16, 2018","['normativity', 'ethics', 'aesthetics']",Philosophy and Psychology
POBAM 2018,Philosophy of Biology at the Mountains,https://easychair.org/cfp/POBAM2018,"Salt Lake City, UT, United States","Jan 31, 2018","May 17, 2018","['biology', 'philosophy of science', 'interdisciplinary', 'philosophy of biology']",Philosophy and Psychology
AA2018,"Assessing Agency, Moral and Otherwise: Beyond the Machine Question",https://easychair.org/cfp/aa2018,"Liverpool, UK","Jan 21, 2018","Apr 04, 2018",[],Philosophy and Psychology
ISUS 2018,15th Conference of the International Society for Utilitarian Studies,https://easychair.org/cfp/ISUS2018,"Karlsruhe, Germany","Mar 02, 2018","Jul 24, 2018","['philosophy', 'ethics', 'economics']",Philosophy and Psychology
XPRAG.it 2018,2nd Experimental Pragmatics in Italy Conference,https://easychair.org/cfp/XPRAGit2018,"Pavia, Italy","Feb 02, 2018","May 30, 2018","['presupposition', 'experimental pragmatics', 'figurative language', 'implicatures']",Philosophy and Psychology
ISBPAC-TU-2018,2nd International Symposium on Bilingual and L2 Processing in Adults and Children,https://easychair.org/cfp/isbpactu2018,"Braunschweig, Germany","Jan 15, 2018","May 24, 2018","['language acquisition', 'language processing', 'multilingualism', 'bilingualism']",Philosophy and Psychology
ETHICOMP 2018,ETHICOMP 2018,https://easychair.org/cfp/ETHICOMP2018,"Tricity, Poland","Jan 10, 2018","Sep 24, 2018","['artificial intelligence', 'ict']",Philosophy and Psychology
PhDLX 2018,PhDs in Logic X,https://easychair.org/cfp/PhDLX2018,"Prague, Czech Republic","Jan 19, 2018","May 01, 2018","['mathematical logic', 'philosophy', 'computer science', 'logic']",Philosophy and Psychology
TIF 2018,XIX Taller Investigació en Filosofia 2018 - XIX Graduate Philosophy Research Workshop 2018,https://easychair.org/cfp/TIF2018,"Barcelona, Spain","Feb 01, 2018","Apr 26, 2018",[],Philosophy and Psychology
ICCC 2018,9th ICCC - International Conference on Computational Creativity,https://easychair.org/cfp/ICCC2018,"Salamanca, Spain","Feb 23, 2018","Jun 25, 2018","['computational creativity', 'artificial intelligence', 'cognition', 'psychology']",Philosophy and Psychology
CLAR2018,The Second Chinese Conference on Logic and Argumentation,https://easychair.org/cfp/CLAR2018,"Hangzhou, China","Jan 15, 2018","Jun 16, 2018",[],Philosophy and Psychology
LCICD 2018,Lancaster Conference on Infant and Early Child Development,https://easychair.org/cfp/LCICD2018,"Lancaster, UK","Mar 01, 2018","Sep 05, 2018",[],Philosophy and Psychology
9SARICAR,9th SAR International Conference on Artistic Research,https://easychair.org/cfp/9-SARICAR,"Plymouth, UK","Jan 07, 2018","Apr 11, 2018","['artistic resarch', 'art', 'music', 'performance']",Philosophy and Psychology
IACIM-17,First International Academic Conference on Islam and Muslim World,https://easychair.org/cfp/IACIM17,"Kozhikode, India","Nov 30, 2017","Dec 30, 2017",[],Philosophy and Psychology
AISB18-CyberSecurity,Symposium on Digital Behaviour Intervention for Cyber Security,https://easychair.org/cfp/AISB18-CyberSecurity,"Liverpool, UK","Jan 15, 2018","Apr 04, 2018","['cyber security', 'artificial intelligence', 'human computer interaction', 'digital behaviour intervention']",Philosophy and Psychology
Spatial Cognition 2018,Spatial Cognition 2018,https://easychair.org/cfp/SpatialCognition2018,"Tübingen, Germany","Mar 01, 2018","Sep 05, 2018","['spatial cognition', 'cognitive psychology', 'computer science', 'spatial information']",Philosophy and Psychology
SCAP 2018,2018 Singapore Conference on Applied Psychology,https://easychair.org/cfp/SCAP2018,"Singapore, Singapore","Apr 20, 2018","Jun 21, 2018","['applied psychology', 'psychology', 'psychotherapy', 'education psychology']",Philosophy and Psychology
CILC4,"FOURTH INTERNATIONAL CONFERENCE ON INTERACTIVITY, LANGUAGE & COGNITION",https://easychair.org/cfp/CILC4,"Honolulu, HI, United States","Feb 01, 2018","Aug 01, 2018","['philosophy', 'education', 'linguistics/applied linguistics', '4e cognition']",Philosophy and Psychology
PCN 2018,1st Panhellenic Conference on Neuropsychology,https://easychair.org/cfp/1st-PanhellenicConference_onNeuropsychology,"Athens, Greece","Feb 19, 2018","Apr 27, 2018","['neuropsychology', 'mental functions']",Philosophy and Psychology
PhImag1,Philosophy of Imagination,https://easychair.org/cfp/PhImag1,"Bochum, Germany","Dec 17, 2017","Mar 15, 2018",[],Philosophy and Psychology
IDEA-GRETHA 2018,A World United: Allies in Ethical Development,https://easychair.org/cfp/idea2018,"Bordeaux, France","Dec 01, 2017","Jun 25, 2018","['development ethics', 'global justice', 'globalization and ethics', 'human development and capabilities']",Philosophy and Psychology
LEAHPS 2018,Learning from Empirical Approaches to HPS,https://easychair.org/cfp/LEAHPS2018,"Pittsburgh, PA, United States","Dec 18, 2017","Apr 06, 2018","['digital humanities', 'history and philosophy of science']",Philosophy and Psychology
SOHS 2018,Southern Organization for Human Services 2018 Annual Conference,https://easychair.org/cfp/SOHS2018,"Johnson City, TN, United States","Dec 01, 2017","Apr 03, 2018","['skills', 'human services', 'helping professions', 'counseling']",Philosophy and Psychology
HegelCongress2018,32nd International Hegel-Congress,https://easychair.org/cfp/hegelcongress2018,"Tampere, Finland","Jan 31, 2018","Jun 05, 2018","['hegel', 'science of logic', 'encyclopedia', 'philosophy']",Philosophy and Psychology
CMCL 2018,Cognitive Modeling and Computational Linguistics 2018,https://easychair.org/cfp/CMCL2018,"Salt Lake City, UT, United States","Sep 03, 2017","Jan 07, 2018","['computational linguistics', 'psycholinguistics', 'cognition']",Philosophy and Psychology
VPRM2017,Virtue and Moral Reasoning under Oppressive Social Conditions,https://easychair.org/cfp/VPRM-2017,"Montreal, Canada","Sep 30, 2017","Feb 10, 2018","['ethics', 'virtue', 'political philosophy', 'oppression']",Philosophy and Psychology
PSFC 2018,Philosophical Society of Finland Colloquium 2018,https://easychair.org/cfp/psfc2018,"Helsinki, Finland","Nov 01, 2017","Jan 11, 2018",['philosophy'],Philosophy and Psychology
SPM 2018,"Society for Phenomenology and Media 20th Annual Conference: ""Global Media Literacy in the Digital Age""",https://easychair.org/cfp/SPM2018,"Akureyri, Iceland","Jan 15, 2018","Mar 14, 2018","['media literacy', 'digital age', 'artificial intelligence']",Philosophy and Psychology
SO 2018,Social Ontology 2018,https://easychair.org/cfp/SO2018,"Boston, MA, United States","Feb 28, 2018","Aug 22, 2018","['social ontology', 'cognition', 'responsibility', 'law']",Philosophy and Psychology
MSPC 2018,Midsouth Philosophy Conference 2018,https://easychair.org/cfp/MSPC2018,"Memphis, TN, United States","Jan 29, 2018","Mar 23, 2018",[],Philosophy and Psychology
EvoLang 12,12th International Conference on the Evolution of Language,https://easychair.org/cfp/EvoLang12,"Torun, Poland","Sep 15, 2017","Apr 16, 2018","['linguistics', 'evolution', 'cognitive science', 'biology']",Philosophy and Psychology
CESPES18,Interactions Between Science And Philosophy,https://easychair.org/cfp/CESPES18,"Catania, Italy","Apr 15, 2018","May 24, 2018","['philosophy', 'science']",Philosophy and Psychology
