Tutorial Chair,Accepted papers due,General Chair :,Conference website,Technical Program Committee Chair,Online registration closes,Technical co Sponsorship,Deadline of submission/ Early registration opens,Paper submission opens,Poster,Notification of acceptance/ Regular registration opens,Notification of acceptance/rejection,Abstract submission deadline,Galgotias Univerity,Link,Final full-text paper submission,Paper Submission Deadline (complete texts (between 4 and 8 pages)),Early bird closes,Abstract Subission,Notification of Acceptance,Final Submission and Camera ready,Final submission opens,Paper decision notification,Abstract registration deadline,Full paper submission open date,Early Bird Fee Deadline,Tentative Program Announcement,Regular registration deadline,Chief Guest,Submission link,Paper Submission,General Chair,Submission deadline,Abstract decision
,,,,,,,"July 20, 2018","March 20, 2018",download,"August 10, 2018",,,,https://easychair.org/cfp/IWDP-2018,,,,,,,,,,,,,"September 2, 2018",,https://easychair.org/conferences/?conf=iwdp2018,,,,
,,,http://icaetgt.blogspot.in/,,,,,,,,,,,https://easychair.org/cfp/ICAETGE19,,,,,,,,,"November 15, 2018",,,,,,,,,"January 15, 2019",
,,,http://www.ritchennai.org/ICPESA/index.html,,,,,,,,,,,https://easychair.org/cfp/ICPESA18,,,,,,,,,"January 31, 2018",,,,,,https://easychair.org/conferences/?conf=icpesa18,,,"February 15, 2018",
,,,http://ich2p-2018.fesb.unist.hr/,,,,,,,,,,,https://easychair.org/cfp/ICH2P-2018,,,,,,,,,"February 1, 2018",,,,,,https://easychair.org/conferences/?conf=ich2p2018,,,"April 1, 2018",
,,,https://www.emavadev.com/wcee2018,,,,,,,,,,,https://easychair.org/cfp/WCEE2018,,,,,,,,,"April 15, 2018",,,,,,https://easychair.org/conferences/?conf=wcee2018,,,"May 15, 2018",
,,,http://www.cifem2018.org,,,,,,,,,,,https://easychair.org/cfp/CIFEM_2018,,,,,,,,,"January 20, 2018",,,,,,,,,"February 15, 2018",
,,,http://www.energieinformatik2018.org,,,,,,,,,,,https://easychair.org/cfp/DACH-Energieinformatik-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dachenergieinformatik20180,,,"May 25, 2018",
,,,http://wirelesssmartgrid2018.sxl.cn/,,,,,,,,,,,https://easychair.org/cfp/WTISG2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=wtisg2018,,,"January 31, 2018",
,,,https://www.eventgetalive.ga/seem18,,,,,,,,,,,https://easychair.org/cfp/SEEM-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=seem20180,,,"May 21, 2018",
,,,http://icnne.org/,,,,,,,,,,,https://easychair.org/cfp/ICNNE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icnne2018,,,"February 25, 2018",
,,,http://www.iceesm.com/,,,,,,,,,,,https://easychair.org/cfp/ICEESM2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iceesm2018,,,"February 25, 2018",
,,,http://www.aryacollege.in/nfeees-2018.php,,,,,,,,,,,https://easychair.org/cfp/NFEEES-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=nfeees2018,,,"February 10, 2018",
,,,http://www.palgrave.com/gp/,,,,,,,,,,,https://easychair.org/cfp/RENEW2018,,,,,,,,,,,,,,,,,,"January 15, 2018",
,,,http://www.cees.net/,,,,,,,,,,,https://easychair.org/cfp/CEES2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cees2018,,,,
,,,https://conferencerelizane.wixsite.com/icmre2018,,,,,,,,,,,https://easychair.org/cfp/ICMRE-2018,,"February 20, 2018",,,"March 20, 2018","March 25, 2018",,,,,,,,,https://easychair.org/conferences/?conf=icmre20180,,,,
,,,http://www.sest-conference.com/,,,,,,,,,,,https://easychair.org/cfp/SEST2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sest2018,,,"March 1, 2018",
,,,http://icoge.org/,,,,,,,,,,,https://easychair.org/cfp/ICOGE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icoge2018,,,"April 5, 2018",
,,,http://ieee-powerafrica.org,,,,,,,,,,,https://easychair.org/cfp/powerafrica2018,,,,,,,,,"January 22, 2018",,,,,,https://easychair.org/conferences/?conf=powerafrica2018,,,"January 22, 2018",
,,,http://ceege.org/,,,,,,,,,,,https://easychair.org/cfp/CEEGE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ceege2018,,,"January 29, 2018",
,,,http://cem2018.uniroma1.it,,,,,,,,,,,https://easychair.org/cfp/CEMA2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cema2018,,,"February 26, 2018",
,"March 30, 2018",,http://movici.co/movici-moycot_joint-conference_2018.html,,"April 13, 2018",,,,,,,,,https://easychair.org/cfp/MOVICI-MOYCOT-2018WTDSME,,,"March 23, 2018",,,,"March 23, 2018","March 16, 2018","January 26, 2018",,,,,,https://easychair.org/conferences/?conf=movicimoycot2018wtds,,,"March 2, 2018","February 2, 2018"
,,,http://www.cpsweek.org/2018/,,,,,,,,,,,https://easychair.org/cfp/MSCPES2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=mscpes2018,,,"February 4, 2018",
,,,http://dataleb18.inf.um.es/,,,,,,,,,,,https://easychair.org/cfp/dataleb2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=dataleb2018,,,"March 1, 2018",
,,,http://www.cmd2018.com.au/,,,,,,,,,,,https://easychair.org/cfp/CMD2018,,,,,,,,,"April 30, 2018",,,,,,https://easychair.org/conferences/?conf=cmd2018,,,"July 31, 2018",
,,,http://www.usthb.dz/CISTEM2018/?q=node/1,,,,,,,,,,,https://easychair.org/cfp/cistem2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cistem2018,"December 24, 2018",,"April 10, 2018",
,,,http://icsee.org/,,,,,,,,,,,https://easychair.org/cfp/ICSEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icsee2018,,,"February 1, 2018",
,,,http://icmie.org/,,,,,,,,,,,https://easychair.org/cfp/ICMIE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icmie2018,,,"February 25, 2018",
,,,http://icpet.org/,,,,,,,,,,,https://easychair.org/cfp/ICPET2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icpet2018,,,,
,,,http://www.solaris2018.com,,,,,,,,,,,https://easychair.org/cfp/solaris2018,,,,,,,,,"March 10, 2018",,"June 30, 2018",,,,https://easychair.org/conferences/?conf=solaris2018,,,"May 31, 2018",
,,,http://conference.must.edu.pk/,,,,,,,,,,,https://easychair.org/cfp/ICPESG-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icpesg2018,,,"January 31, 2018",
,,,http://www.apeec.org/,,,,,,,,,,,https://easychair.org/cfp/APEEC2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=apeec2018,,,"January 25, 2018",
,,,http://www.icaecc2018.com/,,,,,,,,,,,https://easychair.org/cfp/ICRAECC2018,,,,,,,,,"January 5, 2018",,,,,,https://easychair.org/conferences/?conf=icraecc2018,,,"February 15, 2018",
,,,http://energyuse.org.za/,,,,,,,,,,,https://easychair.org/cfp/DUE-2018,,,,,,,,,"December 31, 2017",,,,,,https://easychair.org/conferences/?conf=due2018,,,"January 31, 2018",
,,,http://www.deyloul.org/,,,,,,,,,,,https://easychair.org/cfp/IS-GEM_2018,,,,,,,,,"December 15, 2017",,,,,,https://easychair.org/conferences/?conf=icsigem2018,,,"December 22, 2017",
,,,http://www.ic3g.com/2018/,,,,,,,,,,,https://easychair.org/cfp/ic3g2018,,,,,,,,,"February 15, 2018",,,,,,https://easychair.org/conferences/?conf=ic3g2018,,,"April 1, 2018",
,,,,,,,,,,,,,,https://easychair.org/cfp/MUIGBC2018,,,,,,,,,"March 31, 2018",,,,,,https://easychair.org/conferences/?conf=muigbc2018,,,"April 30, 2018",
,,,http://www.reunet.ma,,,,,,,,"February 28, 2018","February 4, 2018",,https://easychair.org/cfp/icserta2018,"March 31, 2018",,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icserta2018,,,,
,,,http://www.nsit.ac.in/SIGMA2018/,,,,,,,,,,,https://easychair.org/cfp/SIGMA-2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sigma2018,,,,
,,,http://icnee.org/,,,,,,,,,,,https://easychair.org/cfp/ICNEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icnee2018,,,"February 15, 2018",
,,,http://icacer.com/,,,,,,,,,,,https://easychair.org/cfp/ICACER2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icacer2018,,,"January 20, 2018",
,,,http://iceeep.com/,,,,,,,,,,,https://easychair.org/cfp/ICEEEP2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iceeep2018,,,"January 20, 2018",
,,,http://icrce.org/,,,,,,,,,,,https://easychair.org/cfp/ICRCE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icrce2018,,,"January 30, 2018",
,,,http://cpeee.net/,,,,,,,,,,,https://easychair.org/cfp/CPEEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=cpeee2018,,,"February 5, 2018",
,,,http://aceee.net/,,,,,,,,,,,https://easychair.org/cfp/ACEEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=aceee2018,,,"November 15, 2017",
,,,http://www.ceepe.net/,,,,,,,,,,,https://easychair.org/cfp/CEEPE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ceepe2018,,,"February 15, 2018",
,,,http://iceee.org/,,,,,,,,,,,https://easychair.org/cfp/ICEEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iceee2018,,,"January 25, 2018",
,,,https://www.eventbrite.com/e/3rd-eccas-region-sustainable-energy-access-summit-tradeshow-tickets-39141138198,,,,,,,,,,,https://easychair.org/cfp/WECGE2018,,,,,,,,,"January 10, 2018",,,,,,https://easychair.org/conferences/?conf=wecge2018,,,"February 12, 2018",
,,,http://www.iccoe.org/,,,,,,,,,,,https://easychair.org/cfp/ICCOE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iccoe2018,,,"January 15, 2018",
,,,http://www.icsree.com/,,,,,,,,,,,https://easychair.org/cfp/ICSREE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icsree2018,,,"February 10, 2018",
,,,http://icema.org/,,,,,,,,,,,https://easychair.org/cfp/ICEMA2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icema2018,,,"February 5, 2018",
,,,http://icsge.org/,,,,,,,,,,,https://easychair.org/cfp/ICSGE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icsge2018,,,"February 10, 2018",
,,,http://icpea.org/,,,,,,,,,,,https://easychair.org/cfp/ICPEA2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icpea2018,,,"February 10, 2018",
,,,http://iceen.org/,,,,,,,,,,,https://easychair.org/cfp/ICEEN2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iceen2018,,,"January 25, 2018",
,,,http://icgea.org/,,,,,,,,,,,https://easychair.org/cfp/ICGEA2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icgea2018,,,"January 25, 2018",
,,,http://icret.org/,,,,,,,,,,,https://easychair.org/cfp/ICRET2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icret2018,,,"November 15, 2017",
,,,http://icees.org/,,,,,,,,,,,https://easychair.org/cfp/ICEES2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icees2018,,,"November 20, 2017",
,,,http://icpee.net/,,,,,,,,,,,https://easychair.org/cfp/ICPEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icpee2018,,,"January 30, 2018",
,,,http://ieea.org/,,,,,,,,,,,https://easychair.org/cfp/IEEA2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=ieea2018,,,"January 30, 2018",
,,,http://icere.org/,,,,,,,,,,,https://easychair.org/cfp/ICERE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icere2018,,,"December 20, 2017",
,,,http://icpeme.com/,,,,,,,,,,,https://easychair.org/cfp/ICPEME2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icpeme2018,,,"December 25, 2017",
,,,http://iccge.org/,,,,,,,,,,,https://easychair.org/cfp/ICCGE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=iccge2018,,,"December 5, 2017",
,,,http://icaem.org/,,,,,,,,,,,https://easychair.org/cfp/ICAEM2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icaem2018,,,"November 13, 2017",
,,,http://icppe.org/,,,,,,,,,,,https://easychair.org/cfp/ICPPE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icppe2018,,,"November 20, 2017",
,,,http://icfee.org/,,,,,,,,,,,https://easychair.org/cfp/ICFEE2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=icfee2018,,,"November 1, 2017",
,,,http://cs-conferences.acadiau.ca/seit-18,,,,,,,,,,,https://easychair.org/cfp/SEIT2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=seit2018,,,"January 13, 2018",
,,,http://www.iccpcct.com,,,,,,download,,,,,https://easychair.org/cfp/iccpcct2018,,,,,,,,,"January 10, 2018",,,,,,https://easychair.org/conferences/?conf=iccpcct2018,,,"January 10, 2018",
,,,http://tmrees.org/index.php/tmrees18/,,,,,,,,,,,https://easychair.org/cfp/TMREES18,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=tmrees18,,,"December 30, 2017",
,,,,,,,,,,,,,,https://easychair.org/cfp/set2018,,,,,,,,,"March 12, 2018",,,,,,https://easychair.org/conferences/?conf=set2018,,,"June 15, 2018",
,,,https://www.amrita.edu/site/pestse2018/,,,,,,,,,,,https://easychair.org/cfp/PESTSE-2018,,,,,,,,,"October 15, 2017",,,,,,https://easychair.org/conferences/?conf=pestse2018,,,"October 15, 2017",
,,,http://sees-conference.org/,,,,,,,,,,,https://easychair.org/cfp/SEES2018,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=sees2018,,,,
,,,http://www.saupec.org,,,,,,download,,,,,https://easychair.org/cfp/SAUPEC2018,,,,,,,,,"October 15, 2017","October 15, 2017",,,,,https://easychair.org/conferences/?conf=saupec2018,,,"November 1, 2017",
,,,https://www.kth.se/itm/inst/energiteknik/forskning/ett/projekt/energibrunnar/events/conference/igshpa-research-trac/research-track-2018-1.743320,,,,,,,,,,,https://easychair.org/cfp/IGSHPA_Sweden_2018,,,,,,,,,"October 31, 2017",,,,,,https://easychair.org/conferences/?conf=igshparesearch2018,,,"February 28, 2018",
,,,http://npec.tce.edu/,,,,,,,,,,,https://easychair.org/cfp/NPEC-18,,,,,,,,,"January 12, 2018",,,,,,https://easychair.org/conferences/?conf=npec18,,,"January 19, 2018",
,,,,,,,,,,,,,,https://easychair.org/cfp/Advances_in_Renewable_Energy_2017,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=are2017,,,"September 25, 2017",
,,,http://www.epecs-conf.org/,,,,,,,,,,,https://easychair.org/cfp/EPECS18,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=epecs17,,,"November 15, 2017",
,,,http://eehb2018.com/,,,,,,,,,,,https://easychair.org/cfp/EEHB2018,,,,,,,,,"October 16, 2017",,,,,,https://easychair.org/conferences/?conf=eehb2018,,,"February 28, 2018",
https://sites.google.com/site/sksiiita/,,http://home.iitk.ac.in/~snsingh/,http://gucon.org,https://scholar.google.co.in/citations?user=EnHgGksAAAAJ&hl=en,,http://ieeeup.org/,,,,,,,galgotiasuniversity.edu.in,https://easychair.org/cfp/GUCON2018,,,,,,,,,"January 31, 2018",,,,,http://homes.di.unimi.it/piuri/,https://easychair.org/conferences/?conf=iccpct2018,,http://home.iitk.ac.in/~jrkumar/,"April 30, 2018",
,,,http://www.domsrgipt.ac.in/ecoes-2018.html,,,,,,,,,,,https://easychair.org/cfp/ECOES2018,,,,,,,,,"December 25, 2017",,,"January 31, 2018",,,https://easychair.org/conferences/?conf=ecoes2018,,,"December 25, 2017",
,,,http://pauwes-cop.net/res2prac,,,,,,,,,,,https://easychair.org/cfp/pauwes-res2prac,,,,,,,,,,,,,,,https://easychair.org/conferences/?conf=res2prac,,,"January 8, 2018",
,,,http://www.domsrgipt.ac.in/,,,,,,,,,,,https://easychair.org/cfp/ECOES_1,,,,,,,,,"August 4, 2017",,,,,,,,,"October 30, 2017",
,,,http://repsi.bvcoend.ac.in/,,,,,,,,,,,https://easychair.org/cfp/REPSI-2018,,,,,,,,,,,,,,,,,,"August 30, 2017",
,,,https://ic2em-2018.sciencesconf.org/,,,,,,,,,,,https://easychair.org/cfp/ICEEM-2018,,,,,,,,,,,,,,,,,,"March 15, 2018",
,,,http://lahore.comsats.edu.pk/essd2017/index.aspx,,,,,,download,,,,,https://easychair.org/cfp/ESSD-2017,,,,http://lahore.comsats.edu.pk/essd2017/AbstractSubmission.aspx,,,,,"January 10, 2018",,,,,,https://easychair.org/conferences/?conf=essd2017,,,"January 10, 2018",
